model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.2670,0.4275,0.6170
toy3sss100scale_ban,0.6170,0.4350,0.7135
toy3sss100scale_abp,0.8545,0.8230,0.7310
