model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.2190,0.4345,0.5715
toy3sss100scale_ban,0.5680,0.4350,0.6420
toy3sss100scale_abp,0.8450,0.8300,0.7570
