model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0000,0.0000,0.6620,0.0020
mlpbceban,0.0015,0.0000,0.6645,0.0035
mlp01scd,0.8035,0.7985,0.3460,0.7660
mlpbcescd,0.1195,0.0795,0.6120,0.0000
