model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0025,0.0230,0.0755
toy3sss100scale_ban,0.0990,0.0010,0.1250
toy3sss100scale_abp,0.4515,0.3370,0.0040
