model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.1260,0.2485,0.4530
toy3sss100scale_ban,0.5235,0.3945,0.6425
toy3sss100scale_abp,0.8375,0.8155,0.7375
