model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0020,0.0115,0.0625
toy3sss100scale_ban,0.0435,0.0035,0.1120
toy3sss100scale_abp,0.3895,0.3235,0.0100
