model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0025,0.0285,0.7690,0.0455
mlpbceban,0.0140,0.0080,0.8120,0.0645
mlp01scd,0.9090,0.8775,0.7275,0.8665
mlpbcescd,0.2875,0.3500,0.7925,0.0085
