model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0050,0.0270,0.0975
toy3sss100scale_ban,0.0805,0.0030,0.1530
toy3sss100scale_abp,0.4580,0.3905,0.0105
