model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0250,0.0975,0.2705
toy3sss100scale_ban,0.4005,0.0115,0.4450
toy3sss100scale_abp,0.7550,0.6790,0.0690
