model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.2585,0.4255,0.5330
toy3sss100scale_ban,0.5680,0.4645,0.6555
toy3sss100scale_abp,0.8590,0.8475,0.7800
