model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0000,0.0000,0.4450,0.0025
mlpbceban,0.0005,0.0000,0.4335,0.0025
mlp01scd,0.7365,0.7020,0.1420,0.5640
mlpbcescd,0.0515,0.0320,0.3525,0.0000
