model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0005,0.0065,0.4840,0.0370
mlpbceban,0.0055,0.0035,0.5265,0.0425
mlp01scd,0.6880,0.6220,0.1700,0.5885
mlpbcescd,0.0955,0.0935,0.4490,0.0040
