model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0695,0.1735,0.4790
toy3sss100scale_ban,0.4085,0.0870,0.6080
toy3sss100scale_abp,0.8360,0.8015,0.1995
