model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0165,0.0525,0.1500
toy3sss100scale_ban,0.1785,0.0860,0.2705
toy3sss100scale_abp,0.5940,0.5500,0.4020
