model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0970,0.2135,0.3400
toy3sss100scale_ban,0.3195,0.2635,0.4315
toy3sss100scale_abp,0.7305,0.7050,0.6200
