model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0690,0.2050,0.3220
toy3sss100scale_ban,0.3430,0.0740,0.4245
toy3sss100scale_abp,0.7645,0.7255,0.1415
