model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0765,0.1570,0.2715
toy3sss100scale_ban,0.3535,0.1975,0.4170
toy3sss100scale_abp,0.6930,0.6345,0.5060
