model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0035,0.0510,0.1345
toy3sss100scale_ban,0.0745,0.0200,0.1175
toy3sss100scale_abp,0.4645,0.4040,0.1670
