model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0045,0.0185,0.7315,0.0435
mlpbceban,0.0170,0.0050,0.7235,0.0745
mlp01scd,0.8840,0.8585,0.4455,0.8185
mlpbcescd,0.2575,0.2885,0.7255,0.0085
