model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0000,0.0000,0.4670,0.0035
mlpbceban,0.0015,0.0000,0.5265,0.0050
mlp01scd,0.6825,0.6840,0.1055,0.5120
mlpbcescd,0.0450,0.0455,0.4400,0.0000
