model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0005,0.0010,0.0190
toy3sss100scale_ban,0.0205,0.0000,0.0340
toy3sss100scale_abp,0.2680,0.1750,0.0005
