model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.1275,0.2480,0.4125
toy3sss100scale_ban,0.4640,0.0870,0.4860
toy3sss100scale_abp,0.8505,0.7905,0.2145
