model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.2200,0.2890,0.5080
toy3sss100scale_ban,0.6415,0.4595,0.7025
toy3sss100scale_abp,0.8325,0.8410,0.7500
