model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0650,0.1795,0.4090
toy3sss100scale_ban,0.3360,0.0830,0.4930
toy3sss100scale_abp,0.7735,0.7225,0.1565
