model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.2815,0.4270,0.5875
toy3sss100scale_ban,0.6320,0.4640,0.6805
toy3sss100scale_abp,0.8870,0.8675,0.8025
