model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0035,0.0075,0.6385,0.0175
mlpbceban,0.0090,0.0075,0.6325,0.0270
mlp01scd,0.7900,0.7510,0.4425,0.7490
mlpbcescd,0.1865,0.2075,0.6060,0.0590
