model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.4110,0.5230,0.6525
toy3sss100scale_ban,0.7140,0.5420,0.7440
toy3sss100scale_abp,0.9115,0.8945,0.8335
