model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0830,0.1565,0.3240
toy3sss100scale_ban,0.4670,0.0550,0.5150
toy3sss100scale_abp,0.8160,0.7705,0.1465
