model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0645,0.1965,0.3115
toy3sss100scale_ban,0.4790,0.0625,0.5030
toy3sss100scale_abp,0.7435,0.6895,0.1495
