model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0085,0.0265,0.0695
toy3sss100scale_ban,0.0775,0.0095,0.1070
toy3sss100scale_abp,0.4410,0.3995,0.0125
