model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0505,0.1035,0.2385
toy3sss100scale_ban,0.2290,0.1155,0.3475
toy3sss100scale_abp,0.6520,0.5865,0.4320
