model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0250,0.0600,0.1575
toy3sss100scale_ban,0.2570,0.0115,0.2550
toy3sss100scale_abp,0.7245,0.6260,0.0625
