model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0055,0.0395,0.1055
toy3sss100scale_ban,0.1240,0.0040,0.2075
toy3sss100scale_abp,0.4855,0.4275,0.0140
