model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0055,0.0020,0.3880,0.0125
mlpbceban,0.0105,0.0030,0.4070,0.0190
mlp01scd,0.6550,0.6150,0.3205,0.5805
mlpbcescd,0.1650,0.1165,0.4505,0.0215
