model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0985,0.2260,0.2885
toy3sss100scale_ban,0.2835,0.1695,0.3510
toy3sss100scale_abp,0.7015,0.6665,0.4840
