model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.3240,0.4620,0.6720
toy3sss100scale_ban,0.7110,0.5340,0.7995
toy3sss100scale_abp,0.9065,0.8815,0.7915
