model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0710,0.1335,0.2385
toy3sss100scale_ban,0.3725,0.0505,0.3970
toy3sss100scale_abp,0.7710,0.7140,0.1240
