model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.1290,0.2010,0.3655
toy3sss100scale_ban,0.5045,0.3230,0.5650
toy3sss100scale_abp,0.8040,0.7730,0.6825
