model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0620,0.1455,0.2480
toy3sss100scale_ban,0.3425,0.0550,0.4180
toy3sss100scale_abp,0.7180,0.6710,0.1535
