model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0230,0.0100,0.5610,0.0280
mlpbceban,0.0435,0.0070,0.6090,0.0330
mlp01scd,0.7995,0.7525,0.4670,0.7385
mlpbcescd,0.2830,0.2000,0.5675,0.0745
