model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.1955,0.3330,0.4530
toy3sss100scale_ban,0.4555,0.4095,0.5935
toy3sss100scale_abp,0.8440,0.8365,0.7430
