model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.2525,0.3690,0.4800
toy3sss100scale_ban,0.6620,0.4935,0.7140
toy3sss100scale_abp,0.8965,0.8820,0.8130
