model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0010,0.0050,0.6165,0.0125
mlpbceban,0.0020,0.0015,0.6180,0.0145
mlp01scd,0.7730,0.7360,0.2975,0.6940
mlpbcescd,0.0970,0.1105,0.5510,0.0015
