model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0030,0.0070,0.7545,0.0080
mlpbceban,0.0060,0.0050,0.7445,0.0140
mlp01scd,0.8265,0.8250,0.4295,0.7110
mlpbcescd,0.2120,0.2810,0.7305,0.0460
