model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0340,0.1255,0.2425
toy3sss100scale_ban,0.3165,0.0575,0.4155
toy3sss100scale_abp,0.6840,0.6345,0.1325
