model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.2435,0.4560,0.5630
toy3sss100scale_ban,0.5950,0.4800,0.6725
toy3sss100scale_abp,0.8315,0.8200,0.7470
