model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0105,0.0535,0.1370
toy3sss100scale_ban,0.1415,0.0075,0.1760
toy3sss100scale_abp,0.5235,0.4190,0.0140
