model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.1600,0.3010,0.4705
toy3sss100scale_ban,0.6125,0.4705,0.6695
toy3sss100scale_abp,0.8275,0.8220,0.7435
