model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0000,0.0120,0.1760
toy3sss100scale_ban,0.0695,0.0005,0.2975
toy3sss100scale_abp,0.6510,0.5765,0.0045
