model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0645,0.1735,0.2720
toy3sss100scale_ban,0.2365,0.1160,0.3610
toy3sss100scale_abp,0.7010,0.6875,0.1580
