model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0010,0.0065,0.6800,0.0215
mlpbceban,0.0085,0.0010,0.6505,0.0255
mlp01scd,0.7955,0.7290,0.2975,0.6965
mlpbcescd,0.1645,0.1555,0.6335,0.0010
