model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0060,0.0205,0.7425,0.0525
mlpbceban,0.0205,0.0215,0.6955,0.0815
mlp01scd,0.8560,0.8125,0.4145,0.7770
mlpbcescd,0.3820,0.4195,0.7535,0.1975
