model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0090,0.0095,0.7200,0.0230
mlpbceban,0.0305,0.0135,0.7150,0.0540
mlp01scd,0.9055,0.8890,0.7175,0.8195
mlpbcescd,0.3740,0.3620,0.7010,0.1030
