model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0955,0.1665,0.2750
toy3sss100scale_ban,0.2895,0.1905,0.3675
toy3sss100scale_abp,0.6540,0.6220,0.5035
