model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0480,0.1360,0.2375
toy3sss100scale_ban,0.1815,0.1525,0.3075
toy3sss100scale_abp,0.5845,0.5460,0.4335
