model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0010,0.0245,0.7885,0.0560
mlpbceban,0.0090,0.0030,0.7680,0.0815
mlp01scd,0.8925,0.8615,0.4690,0.8830
mlpbcescd,0.2495,0.3290,0.7485,0.0050
