model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0215,0.0575,0.2125
toy3sss100scale_ban,0.2040,0.0745,0.2820
toy3sss100scale_abp,0.6695,0.5730,0.4195
