model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.1365,0.2410,0.4360
toy3sss100scale_ban,0.6040,0.4080,0.6640
toy3sss100scale_abp,0.7645,0.7780,0.6735
