model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.1955,0.2610,0.4135
toy3sss100scale_ban,0.6240,0.3980,0.6280
toy3sss100scale_abp,0.8935,0.8475,0.7710
