model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0070,0.0095,0.0575
toy3sss100scale_ban,0.0510,0.0015,0.0945
toy3sss100scale_abp,0.3495,0.2380,0.0095
