model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0115,0.0120,0.7110,0.0310
mlpbceban,0.0300,0.0195,0.6890,0.0640
mlp01scd,0.8660,0.8120,0.4485,0.8430
mlpbcescd,0.3690,0.3805,0.7565,0.1395
