model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0110,0.0400,0.7890,0.0805
mlpbceban,0.0325,0.0380,0.7675,0.1275
mlp01scd,0.9015,0.8720,0.6425,0.9095
mlpbcescd,0.4365,0.4920,0.7775,0.2000
