model,mlpbcebp,mlpbceban,mlp01scd,mlpbcescd
mlpbcebp,0.0015,0.0015,0.7190,0.0235
mlpbceban,0.0050,0.0000,0.7380,0.0295
mlp01scd,0.8275,0.8020,0.3470,0.8285
mlpbcescd,0.1300,0.1050,0.6770,0.0055
