model,toy3rrr100,toy3sss100scale_ban,toy3sss100scale_abp
toy3rrr100,0.0935,0.2830,0.3425
toy3sss100scale_ban,0.3895,0.2940,0.4440
toy3sss100scale_abp,0.6810,0.6910,0.5460
